Exchange Server 2019,CU11,SU8,2022-11-08,15.2.986.36,15.02.0986.036,TabShell - Could be updated
Exchange Server 2019,CU11,SU7,2022-10-11,15.2.986.30,15.02.0986.030,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU6,2022-08-09,15.2.986.29,15.02.0986.029,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU5,2022-05-10,15.2.986.26,15.02.0986.026,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU4,2022-03-08,15.2.986.22,15.02.0986.022,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU3,2022-01-11,15.2.986.15,15.02.0986.015,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU2,2021-11-09,15.2.986.14,15.02.0986.014,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU11,SU1,2021-10-12,15.2.986.9,15.02.0986.009,ProxyNotShell - OWASSRF - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU11,Initial,2021-09-28,15.2.986.5,15.02.0986.005,ProxyNotShell - OWASSRF - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU10,SU5,2022-03-08,15.2.922.27,15.02.0922.027,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU10,SU4,2022-01-11,15.2.922.20,15.02.0922.020,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU10,SU3,2021-11-09,15.2.922.19,15.02.0922.019,ProxyNotShell - OWASSRF - Could be updated
Exchange Server 2019,CU10,SU2,2021-10-12,15.2.922.14,15.02.0922.014,ProxyNotShell - OWASSRF - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU10,SU1,2021-07-13,15.2.922.13,15.02.0922.013,ProxyNotShell - OWASSRF - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU10,Initial,2021-06-29,15.2.922.7,15.02.0922.007,ProxyNotShell - OWASSRF - ProxyToken - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU9,SU3,2021-07-13,15.2.858.15,15.02.0858.015,ProxyNotShell - OWASSRF - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU9,SU2,2021-05-11,15.2.858.12,15.02.0858.012,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - CVE-2021-42321 - CVE-2021-31196 - CVE-2021-33768 - Could be updated
Exchange Server 2019,CU9,SU1,2021-04-13,15.2.858.10,15.02.0858.010,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - CVE-2021-42321 - CVE-2021-33768 - CVE-2021-31207 - Could be updated
Exchange Server 2019,CU9,Initial,2021-03-16,15.2.858.5,15.02.0858.005,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - CVE-2021-42321 - CVE-2021-33768 - CVE-2021-31207 - Could be updated
Exchange Server 2019,CU8,SU3,2021-05-11,15.2.792.15,15.02.0792.015,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - CVE-2021-42321 - CVE-2021-31196 - CVE-2021-33768 - Could be updated
Exchange Server 2019,CU8,SU2,2021-04-13,15.2.792.13,15.02.0792.013,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - CVE-2021-42321 - CVE-2021-33768 - CVE-2021-31207 - Could be updated
Exchange Server 2019,CU8,SU1,2021-03-02,15.2.792.10,15.02.0792.010,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU8,Initial,2020-12-15,15.2.792.3,15.02.0792.003,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU7,SU1,2021-03-02,15.2.721.13,15.02.0721.013,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU7,Initial,2020-09-15,15.2.721.2,15.02.0721.002,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU6,SU1,2021-03-02,15.2.659.12,15.02.0659.012,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU6,Initial,2020-06-16,15.2.659.4,15.02.0659.004,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU5,SU1,2021-03-02,15.2.595.8,15.02.0595.008,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU5,Initial,2020-03-17,15.2.595.3,15.02.0595.003,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU4,SU1,2021-03-02,15.2.529.13,15.02.0529.013,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU4,Initial,2019-12-17,15.2.529.5,15.02.0529.005,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU3,SU1,2021-03-02,15.2.464.15,15.02.0464.015,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU3,Initial,2019-09-17,15.2.464.5,15.02.0464.005,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU2,SU1,2021-03-02,15.2.397.11,15.02.0397.011,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU2,Initial,2019-06-18,15.2.397.3,15.02.0397.003,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU1,SU1,2021-03-02,15.2.330.11,15.02.0330.011,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,CU1,Initial,2019-02-12,15.2.330.5,15.02.0330.005,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,RTM,SU1,2021-03-02,15.2.221.18,15.02.0221.018,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - CVE-2021-42321 - Could be updated
Exchange Server 2019,RTM,Initial,2018-09-22,15.2.221.12,15.02.0221.012,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2019,Preview,-,2018-07-24,15.2.196.0,15.02.0196.000,ProxyNotShell - OWASSRF - ProxyToken - ProxyRelay - ProxyOracle - ProxyShell - ProxyNotFound - ProxyLogon - CVE-2021-42321 - Could be updated
Exchange Server 2016,CU23,SU25,2026-09-08,15.1.2507.73,15.01.2507.073,Up-to-date
Exchange Server 2016,CU23,SU24,2026-08-11,15.1.2507.72,15.01.2507.072,CVE-2026-69355 - CVE-2026-69356 - CVE-2026-69361 - CVE-2026-69375 - CVE-2026-69378 - CVE-2026-69380 - CVE-2026-69382 - CVE-2026-69641 - Could be updated
